icon_entry_a_arrow_down	a-arrow-down	IconAArrowDown
icon_entry_a_arrow_up	a-arrow-up	IconAArrowUp
icon_entry_a_large_small	a-large-small	IconALargeSmall
icon_entry_accessibility	accessibility	IconAccessibility
icon_entry_activity	activity	IconActivity
icon_entry_air_vent	air-vent	IconAirVent
icon_entry_airplay	airplay	IconAirplay
icon_entry_alarm_clock_check	alarm-clock-check	IconAlarmClockCheck
icon_entry_alarm_clock_minus	alarm-clock-minus	IconAlarmClockMinus
icon_entry_alarm_clock_off	alarm-clock-off	IconAlarmClockOff
icon_entry_alarm_clock_plus	alarm-clock-plus	IconAlarmClockPlus
icon_entry_alarm_clock	alarm-clock	IconAlarmClock
icon_entry_alarm_smoke	alarm-smoke	IconAlarmSmoke
icon_entry_album	album	IconAlbum
icon_entry_align_center_horizontal	align-center-horizontal	IconAlignCenterHorizontal
icon_entry_align_center_vertical	align-center-vertical	IconAlignCenterVertical
icon_entry_align_end_horizontal	align-end-horizontal	IconAlignEndHorizontal
icon_entry_align_end_vertical	align-end-vertical	IconAlignEndVertical
icon_entry_align_horizontal_distribute_center	align-horizontal-distribute-center	IconAlignHorizontalDistributeCenter
icon_entry_align_horizontal_distribute_end	align-horizontal-distribute-end	IconAlignHorizontalDistributeEnd
icon_entry_align_horizontal_distribute_start	align-horizontal-distribute-start	IconAlignHorizontalDistributeStart
icon_entry_align_horizontal_justify_center	align-horizontal-justify-center	IconAlignHorizontalJustifyCenter
icon_entry_align_horizontal_justify_end	align-horizontal-justify-end	IconAlignHorizontalJustifyEnd
icon_entry_align_horizontal_justify_start	align-horizontal-justify-start	IconAlignHorizontalJustifyStart
icon_entry_align_horizontal_space_around	align-horizontal-space-around	IconAlignHorizontalSpaceAround
icon_entry_align_horizontal_space_between	align-horizontal-space-between	IconAlignHorizontalSpaceBetween
icon_entry_align_start_horizontal	align-start-horizontal	IconAlignStartHorizontal
icon_entry_align_start_vertical	align-start-vertical	IconAlignStartVertical
icon_entry_align_vertical_distribute_center	align-vertical-distribute-center	IconAlignVerticalDistributeCenter
icon_entry_align_vertical_distribute_end	align-vertical-distribute-end	IconAlignVerticalDistributeEnd
icon_entry_align_vertical_distribute_start	align-vertical-distribute-start	IconAlignVerticalDistributeStart
icon_entry_align_vertical_justify_center	align-vertical-justify-center	IconAlignVerticalJustifyCenter
icon_entry_align_vertical_justify_end	align-vertical-justify-end	IconAlignVerticalJustifyEnd
icon_entry_align_vertical_justify_start	align-vertical-justify-start	IconAlignVerticalJustifyStart
icon_entry_align_vertical_space_around	align-vertical-space-around	IconAlignVerticalSpaceAround
icon_entry_align_vertical_space_between	align-vertical-space-between	IconAlignVerticalSpaceBetween
icon_entry_ambulance	ambulance	IconAmbulance
icon_entry_ampersand	ampersand	IconAmpersand
icon_entry_ampersands	ampersands	IconAmpersands
icon_entry_amphora	amphora	IconAmphora
icon_entry_anchor	anchor	IconAnchor
icon_entry_angry	angry	IconAngry
icon_entry_annoyed	annoyed	IconAnnoyed
icon_entry_antenna	antenna	IconAntenna
icon_entry_anvil	anvil	IconAnvil
icon_entry_aperture	aperture	IconAperture
icon_entry_app_window_mac	app-window-mac	IconAppWindowMac
icon_entry_app_window	app-window	IconAppWindow
icon_entry_apple	apple	IconApple
icon_entry_archive_restore	archive-restore	IconArchiveRestore
icon_entry_archive_x	archive-x	IconArchiveX
icon_entry_archive	archive	IconArchive
icon_entry_armchair	armchair	IconArmchair
icon_entry_arrow_big_down_dash	arrow-big-down-dash	IconArrowBigDownDash
icon_entry_arrow_big_down	arrow-big-down	IconArrowBigDown
icon_entry_arrow_big_left_dash	arrow-big-left-dash	IconArrowBigLeftDash
icon_entry_arrow_big_left	arrow-big-left	IconArrowBigLeft
icon_entry_arrow_big_right_dash	arrow-big-right-dash	IconArrowBigRightDash
icon_entry_arrow_big_right	arrow-big-right	IconArrowBigRight
icon_entry_arrow_big_up_dash	arrow-big-up-dash	IconArrowBigUpDash
icon_entry_arrow_big_up	arrow-big-up	IconArrowBigUp
icon_entry_arrow_down_0_1	arrow-down-0-1	IconArrowDown01
icon_entry_arrow_down_1_0	arrow-down-1-0	IconArrowDown10
icon_entry_arrow_down_a_z	arrow-down-a-z	IconArrowDownAZ
icon_entry_arrow_down_from_line	arrow-down-from-line	IconArrowDownFromLine
icon_entry_arrow_down_left	arrow-down-left	IconArrowDownLeft
icon_entry_arrow_down_narrow_wide	arrow-down-narrow-wide	IconArrowDownNarrowWide
icon_entry_arrow_down_right	arrow-down-right	IconArrowDownRight
icon_entry_arrow_down_to_dot	arrow-down-to-dot	IconArrowDownToDot
icon_entry_arrow_down_to_line	arrow-down-to-line	IconArrowDownToLine
icon_entry_arrow_down_up	arrow-down-up	IconArrowDownUp
icon_entry_arrow_down_wide_narrow	arrow-down-wide-narrow	IconArrowDownWideNarrow
icon_entry_arrow_down_z_a	arrow-down-z-a	IconArrowDownZA
icon_entry_arrow_down	arrow-down	IconArrowDown
icon_entry_arrow_left_from_line	arrow-left-from-line	IconArrowLeftFromLine
icon_entry_arrow_left_right	arrow-left-right	IconArrowLeftRight
icon_entry_arrow_left_to_line	arrow-left-to-line	IconArrowLeftToLine
icon_entry_arrow_left	arrow-left	IconArrowLeft
icon_entry_arrow_right_from_line	arrow-right-from-line	IconArrowRightFromLine
icon_entry_arrow_right_left	arrow-right-left	IconArrowRightLeft
icon_entry_arrow_right_to_line	arrow-right-to-line	IconArrowRightToLine
icon_entry_arrow_right	arrow-right	IconArrowRight
icon_entry_arrow_up_0_1	arrow-up-0-1	IconArrowUp01
icon_entry_arrow_up_1_0	arrow-up-1-0	IconArrowUp10
icon_entry_arrow_up_a_z	arrow-up-a-z	IconArrowUpAZ
icon_entry_arrow_up_down	arrow-up-down	IconArrowUpDown
icon_entry_arrow_up_from_dot	arrow-up-from-dot	IconArrowUpFromDot
icon_entry_arrow_up_from_line	arrow-up-from-line	IconArrowUpFromLine
icon_entry_arrow_up_left	arrow-up-left	IconArrowUpLeft
icon_entry_arrow_up_narrow_wide	arrow-up-narrow-wide	IconArrowUpNarrowWide
icon_entry_arrow_up_right	arrow-up-right	IconArrowUpRight
icon_entry_arrow_up_to_line	arrow-up-to-line	IconArrowUpToLine
icon_entry_arrow_up_wide_narrow	arrow-up-wide-narrow	IconArrowUpWideNarrow
icon_entry_arrow_up_z_a	arrow-up-z-a	IconArrowUpZA
icon_entry_arrow_up	arrow-up	IconArrowUp
icon_entry_arrows_up_from_line	arrows-up-from-line	IconArrowsUpFromLine
icon_entry_asterisk	asterisk	IconAsterisk
icon_entry_at_sign	at-sign	IconAtSign
icon_entry_atom	atom	IconAtom
icon_entry_audio_lines	audio-lines	IconAudioLines
icon_entry_audio_waveform	audio-waveform	IconAudioWaveform
icon_entry_award	award	IconAward
icon_entry_axe	axe	IconAxe
icon_entry_axis_3d	axis-3d	IconAxis3d
icon_entry_baby	baby	IconBaby
icon_entry_backpack	backpack	IconBackpack
icon_entry_badge_alert	badge-alert	IconBadgeAlert
icon_entry_badge_cent	badge-cent	IconBadgeCent
icon_entry_badge_check	badge-check	IconBadgeCheck
icon_entry_badge_dollar_sign	badge-dollar-sign	IconBadgeDollarSign
icon_entry_badge_euro	badge-euro	IconBadgeEuro
icon_entry_badge_indian_rupee	badge-indian-rupee	IconBadgeIndianRupee
icon_entry_badge_info	badge-info	IconBadgeInfo
icon_entry_badge_japanese_yen	badge-japanese-yen	IconBadgeJapaneseYen
icon_entry_badge_minus	badge-minus	IconBadgeMinus
icon_entry_badge_percent	badge-percent	IconBadgePercent
